"",genderLabel,article
Andre Geim,männlich,https://de.wikipedia.org/wiki/Andre_Geim
Bruce Beutler,männlich,https://de.wikipedia.org/wiki/Bruce_Beutler
Manfred Füllsack,männlich,https://de.wikipedia.org/wiki/Manfred_F%C3%BCllsack
Paul Molitor,männlich,https://de.wikipedia.org/wiki/Paul_Molitor_(Informatiker)
Benjamin List,männlich,https://de.wikipedia.org/wiki/Benjamin_List
Roland Kirstein,männlich,https://de.wikipedia.org/wiki/Roland_Kirstein
Patrick Cramer,männlich,https://de.wikipedia.org/wiki/Patrick_Cramer
Werner Riess,männlich,https://de.wikipedia.org/wiki/Werner_Rie%C3%9F_(Althistoriker)
Sabina Jeschke,weiblich,https://de.wikipedia.org/wiki/Sabina_Jeschke
Michael Röckner,männlich,https://de.wikipedia.org/wiki/Michael_R%C3%B6ckner
Donna Nelson,weiblich,https://de.wikipedia.org/wiki/Donna_Nelson
Bamir Topi,männlich,https://de.wikipedia.org/wiki/Bamir_Topi
Catherine Grace Coleman,weiblich,https://de.wikipedia.org/wiki/Catherine_Coleman
Klaus Segbers,männlich,https://de.wikipedia.org/wiki/Klaus_Segbers
Bernhard Siegert,männlich,https://de.wikipedia.org/wiki/Bernhard_Siegert
Stefanie Dimmeler,weiblich,https://de.wikipedia.org/wiki/Stefanie_Dimmeler
Franz-Josef Ulm,männlich,https://de.wikipedia.org/wiki/Franz-Josef_Ulm
Zack Snyder,männlich,https://de.wikipedia.org/wiki/Zack_Snyder
Reinhard Genzel,männlich,https://de.wikipedia.org/wiki/Reinhard_Genzel
Stanislav Komárek,männlich,https://de.wikipedia.org/wiki/Stanislav_Kom%C3%A1rek
Ayaan Hirsi Ali,weiblich,https://de.wikipedia.org/wiki/Ayaan_Hirsi_Ali
Dean Baker,männlich,https://de.wikipedia.org/wiki/Dean_Baker
Benedict Gross,männlich,https://de.wikipedia.org/wiki/Benedict_Gross
Susan Greenfield,weiblich,https://de.wikipedia.org/wiki/Susan_Greenfield
Fred Diamond,männlich,https://de.wikipedia.org/wiki/Fred_Diamond
Nathan Myhrvold,männlich,https://de.wikipedia.org/wiki/Nathan_Myhrvold
Nathan Myhrvold,männlich,https://de.wikipedia.org/wiki/Nathan_Myhrvold
Hiroshi Ishiguro,männlich,https://de.wikipedia.org/wiki/Hiroshi_Ishiguro
Akiyoshi Kitaoka,männlich,https://de.wikipedia.org/wiki/Akiyoshi_Kitaoka
Xiangzhong Yang,männlich,https://de.wikipedia.org/wiki/Xiangzhong_Yang
Todd Stern,männlich,https://de.wikipedia.org/wiki/Todd_Stern
Kathryn D. Sullivan,weiblich,https://de.wikipedia.org/wiki/Kathryn_D._Sullivan
Diana Gabaldon,weiblich,https://de.wikipedia.org/wiki/Diana_Gabaldon
Claudine Moulin,weiblich,https://de.wikipedia.org/wiki/Claudine_Moulin
Ömer Özsoy,männlich,https://de.wikipedia.org/wiki/%C3%96mer_%C3%96zsoy
Timothy Garton Ash,männlich,https://de.wikipedia.org/wiki/Timothy_Garton_Ash
Lawrence Summers,männlich,https://de.wikipedia.org/wiki/Lawrence_Summers
Amir Ansari,männlich,https://de.wikipedia.org/wiki/Amir_Ansari_(Unternehmer)
Andrea Ghez,weiblich,https://de.wikipedia.org/wiki/Andrea_Ghez
Robert Zubrin,männlich,https://de.wikipedia.org/wiki/Robert_Zubrin
Robert Zubrin,männlich,https://de.wikipedia.org/wiki/Robert_Zubrin
Athene Donald,weiblich,https://de.wikipedia.org/wiki/Athene_Donald
Paul Anastas,männlich,https://de.wikipedia.org/wiki/Paul_Anastas
Marcos Soares Tatagiba,männlich,https://de.wikipedia.org/wiki/Marcos_Soares_Tatagiba
Barbara Lenz,weiblich,https://de.wikipedia.org/wiki/Barbara_Lenz_(Verkehrswissenschaftlerin)
Barry Brook,männlich,https://de.wikipedia.org/wiki/Barry_Brook_(%C3%96kologe)
Ben Goldacre,männlich,https://de.wikipedia.org/wiki/Ben_Goldacre
Benedikt Buchner,männlich,https://de.wikipedia.org/wiki/Benedikt_Buchner
Pavel Kroupa,männlich,https://de.wikipedia.org/wiki/Pavel_Kroupa
Bernd Rüschoff,männlich,https://de.wikipedia.org/wiki/Bernd_R%C3%BCschoff
Janko Ferk,männlich,https://de.wikipedia.org/wiki/Janko_Ferk
David P. Lane,männlich,https://de.wikipedia.org/wiki/David_P._Lane
Robert Dilts,männlich,https://de.wikipedia.org/wiki/Robert_Dilts
Clay Shirky,männlich,https://de.wikipedia.org/wiki/Clay_Shirky
Tamara Braun,weiblich,https://de.wikipedia.org/wiki/Tamara_Braun
Janet Biehl,weiblich,https://de.wikipedia.org/wiki/Janet_Biehl
Anke Bosse,weiblich,https://de.wikipedia.org/wiki/Anke_Bosse
Phil Jones,männlich,https://de.wikipedia.org/wiki/Philip_D._Jones
Andreas Schleicher,männlich,https://de.wikipedia.org/wiki/Andreas_Schleicher
Hubert Houben,männlich,https://de.wikipedia.org/wiki/Hubert_Houben_(Historiker)
Ernst Fehr,männlich,https://de.wikipedia.org/wiki/Ernst_Fehr
Nikolai Grube,männlich,https://de.wikipedia.org/wiki/Nikolai_Grube
Burkhard Meyer-Sickendiek,männlich,https://de.wikipedia.org/wiki/Burkhard_Meyer-Sickendiek
Guido Tonelli,männlich,https://de.wikipedia.org/wiki/Guido_Tonelli
Charlotte Schubert,weiblich,https://de.wikipedia.org/wiki/Charlotte_Schubert
Alexander Anatoljewitsch Iljin,männlich,https://de.wikipedia.org/wiki/Alexander_Anatoljewitsch_Iljin
Jewgeni Nikolajewitsch Kablow,männlich,https://de.wikipedia.org/wiki/Jewgeni_Nikolajewitsch_Kablow
Siddhartha Mukherjee,männlich,https://de.wikipedia.org/wiki/Siddhartha_Mukherjee
Mitchell Joachim,männlich,https://de.wikipedia.org/wiki/Mitchell_Joachim
Michael Jursa,männlich,https://de.wikipedia.org/wiki/Michael_Jursa
Christian Jung,männlich,https://de.wikipedia.org/wiki/Christian_Jung_(Molekularbiologe)
Christian Kassung,männlich,https://de.wikipedia.org/wiki/Christian_Kassung
Christian Klingler,männlich,https://de.wikipedia.org/wiki/Christian_Klingler
Christiane Vorster,weiblich,https://de.wikipedia.org/wiki/Christiane_Vorster
Christoph Neuberger,männlich,https://de.wikipedia.org/wiki/Christoph_Neuberger
Claudia Spies,weiblich,https://de.wikipedia.org/wiki/Claudia_Spies
